Description,Deadline,Link
Deakin STEM Scholarship,"november 09, 2026",https://www.wedushare.com/programs/deakin-stem-scholarship
Toronto Metropolitan University,No deadline,https://www.wedushare.com/programs/toronto-metropolitan-university
"Inaugural Dean of Health Sciences, Professor Janet Hiller Scholarship 2024",No deadline,https://www.wedushare.com/programs/inaugural-dean-of-health-sciences-professor-janet-hiller-scholarship-2024
"World Youth Forum 2024 in Porto, Portugal","september 30, 2024",https://www.wedushare.com/programs/world-youth-forum-2024-in-porto-portugal
World Bank Group Africa Fellowship Program,"august 25, 2024",https://www.wedushare.com/programs/world-bank-group-africa-fellowship-program
Universal Youth Leadership Summit 2024,"august 23, 2024",https://www.wedushare.com/programs/universal-youth-leadership-summit-2024
Czech Government Scholarships,"september 30, 2024",https://www.wedushare.com/programs/czech-government-scholarships
Adelaide Health Simulation HDR Supplementary Scholarship,No deadline,https://www.wedushare.com/programs/adelaide-health-simulation-hdr-supplementary-scholarship
ASEAN Partner Institution Scholarship,No deadline,https://www.wedushare.com/programs/asean-partner-institution-scholarship
AU Emerging Global Leader Scholarship in USA 2025,"december 01, 2024",https://www.wedushare.com/programs/au-emerging-global-leader-scholarship-in-usa-2025
Macquarie Sponsored Student Grant,No deadline,https://www.wedushare.com/programs/macquarie-sponsored-student-grant
RMIT Boeing Scholarship,"september 01, 2024",https://www.wedushare.com/programs/rmit-boeing-scholarship
CSIRO Industry PhD Program,No deadline,https://www.wedushare.com/programs/csiro-industry-phd-program
University of Milan DSU Scholarship 2024-2025,"september 30, 2024",https://www.wedushare.com/programs/university-of-milan-dsu-scholarship-2024-2025
American University Global Leader Scholarship 2025,"september 30, 2024",https://www.wedushare.com/programs/american-university-global-leader-scholarship-2025
University of Connecticut,No deadline,https://www.wedushare.com/programs/university-of-connecticut
Les Roches,No deadline,https://www.wedushare.com/programs/les-roches
Glion Institute of Higher Education,No deadline,https://www.wedushare.com/programs/glion-institute-of-higher-education
Murdoch University,No deadline,https://www.wedushare.com/programs/murdoch-university
Western Sydney University,No deadline,https://www.wedushare.com/programs/western-sydney-university
Auckland University of Technology,No deadline,https://www.wedushare.com/programs/auckland-university-of-technology
University of Dundee,No deadline,https://www.wedushare.com/programs/university-of-dundee
University of Victoria,No deadline,https://www.wedushare.com/programs/university-of-victoria
Victoria University of Wellington,No deadline,https://www.wedushare.com/programs/victoria-university-of-wellington
University of Glasgow,No deadline,https://www.wedushare.com/programs/university-of-glasgow
Simmons University,No deadline,https://www.wedushare.com/programs/simmons-university
Pace University,No deadline,https://www.wedushare.com/programs/pace-university
Eynesbury College,No deadline,https://www.wedushare.com/programs/eynesbury-college
Asian Institute of Hospitality Management,No deadline,https://www.wedushare.com/programs/asian-institute-of-hospitality-management
Flinders University,No deadline,https://www.wedushare.com/programs/flinders-university
Raffles Education Group,No deadline,https://www.wedushare.com/programs/raffles-education-group
University of Newcastle,No deadline,https://www.wedushare.com/programs/university-of-newcastle
UNS Scholarship in Indonesia 2025,"september 30, 2024",https://www.wedushare.com/programs/uns-scholarship-in-indonesia-2025
Science and Engineering Undergraduate International Merit Extension Scholarship,"december 31, 2024",https://www.wedushare.com/programs/science-and-engineering-undergraduate-international-merit-extension-scholarship
Vice-Chancellor's Academic Excellence Postgraduate Scholarships,No deadline,https://www.wedushare.com/programs/vice-chancellors-academic-excellence-postgraduate-scholarships
2024 Global Curtin Scholarships Australian Year 12 Scholarship,No deadline,https://www.wedushare.com/programs/2024-global-curtin-scholarships-australian-year-12-scholarship
Singapore International Graduate Award 2025,"december 01, 2024",https://www.wedushare.com/programs/singapore-international-graduate-award-2025
KUAS-E Scholarship III,No deadline,https://www.wedushare.com/programs/kuas-e-scholarship-iii
KUAS-E Scholarship II,No deadline,https://www.wedushare.com/programs/kuas-e-scholarship-ii
ADB Japan Scholarship Program at the University of Tokyo Japan,"december 10, 2024",https://www.wedushare.com/programs/adb-japan-scholarship-program-at-the-university-of-tokyo-japan
The Flinders University Global Scholarships,No deadline,https://www.wedushare.com/programs/the-flinders-university-global-scholarships
The Flinders University Excellence Scholarships,No deadline,https://www.wedushare.com/programs/the-flinders-university-excellence-scholarships
WIPO Young Experts Program 2025 in Switzerland,"august 15, 2024",https://www.wedushare.com/programs/wipo-young-experts-program-2025-in-switzerland
Eric Bleumink Scholarships in Netherlands 2025,"december 01, 2024",https://www.wedushare.com/programs/eric-bleumink-scholarships-in-netherlands-2025
Lester B. Pearson Scholarship in Canada 2025,"november 08, 2024",https://www.wedushare.com/programs/lester-b-pearson-scholarship-in-canada-2025
Ellison Scholars Program in the UK,"august 01, 2024",https://www.wedushare.com/programs/ellison-scholars-program-in-the-uk
Greg Benjamin WAAPA Music Entrance Scholarship,No deadline,https://www.wedushare.com/programs/greg-benjamin-waapa-music-entrance-scholarship
Global Business Symposium 2024,"august 10, 2024",https://www.wedushare.com/programs/global-business-symposium-2024
